train,val,recon,beta,lr
376.28594951014367,1188.6504927831338,326.4400514241289,0.0,0.001
339.94088764805946,449.99765137089787,319.81985100124865,0.1,0.0009997532801828658
336.3539363738029,417.6390346415016,314.8495074704063,0.2,0.0009990133642141358
338.2929465017011,409.5464115285825,318.2300763873223,0.3,0.00099778098230154
341.28323285502773,386.51800971838,318.4673560485531,0.4,0.000996057350657239
344.1019226074219,377.67197993470785,318.3906457284543,0.5,0.0009938441702975688
346.1358268491683,369.96521222424724,320.08116234312666,0.6,0.0009911436253643444
347.8829633159022,366.4603765578497,324.1598030314499,0.7,0.0009879583809693736
349.7040970340852,361.0736971436784,325.19071817910174,0.8,0.0009842915805643154
350.0915421024446,357.589292831962,325.9400472685438,0.9,0.0009801468428384714
350.89361828219506,355.1804290802404,329.12191415031145,1.0,0.0009755282581475767
349.1847169937626,353.9418921937334,328.36226007061526,1.0,0.0009704403844771127
347.0086961315524,350.46753656914893,328.62402023423647,1.0,0.0009648882429441257
345.43441181798136,349.5740500035619,328.69584503946817,1.0,0.0009588773128419905
343.97772453062,349.2710091356086,328.63443583108733,1.0,0.0009524135262330098
342.5385257844002,347.56862944474454,327.5825253626737,1.0,0.0009455032620941839
341.39047044323337,346.25855682589486,326.9616372955848,1.0,0.0009381533400219318
340.6536117061492,344.8250187310525,325.9729304258584,1.0,0.0009303710135019719
339.76175241777975,344.38077805044685,325.89235630827716,1.0,0.0009221639627510076
339.09613037109375,343.8399076297532,325.48112808428516,1.0,0.000913540287137281
338.37960382276964,343.43479010708546,325.4573171938323,1.0,0.0009045084971874739
337.59864127866683,342.58432903502364,324.5660311837085,1.0,0.0008950775061878453
337.28097002583166,341.90305752121327,324.29986545056437,1.0,0.0008852566213878948
336.6990120180192,341.8436269217108,324.4001177972332,1.0,0.0008750555348152299
336.10967801001766,341.2041634943227,323.762235044346,1.0,0.0008644843137107058
335.58835055443546,340.97339469499985,323.5289840435426,1.0,0.0008535533905932738
335.31204617408014,341.02676115799335,323.76962700779075,1.0,0.0008422735529643445
334.8009826660156,340.2264517957075,322.8658783422777,1.0,0.000830655932661826
334.2219529674899,339.9403145802661,322.66119519574784,1.0,0.000818711994874345
334.1027485509073,339.90273558704564,322.7113810592389,1.0,0.0008064535268264884
333.986725641066,339.36887943534504,322.1513051876544,1.0,0.0007938926261462368
333.4076223065776,339.9976712150535,322.84608146257796,1.0,0.0007810416889260655
332.9858116888231,338.91115695447064,321.7041862387305,1.0,0.0007679133974894984
332.69016979586695,338.80496607261585,321.68198522936854,1.0,0.0007545207078751858
332.3528385285408,338.57099765209443,321.41604143044145,1.0,0.0007408768370508578
332.05516318044357,338.14337514396135,320.84813589851666,1.0,0.0007269952498697736
331.55006989509826,337.84283544971345,320.63015133008406,1.0,0.0007128896457825365
331.42234497070314,337.64196840419595,320.47273140301456,1.0,0.0006985739453173904
331.127774343183,337.5465877018922,320.46316865961603,1.0,0.0006840622763423392
331.03015845514113,337.4719549702777,320.30764541703275,1.0,0.0006693689601226459
330.6089995353453,337.1675436002505,319.9406251731494,1.0,0.0006545084971874739
330.32516282604587,336.5775237264121,319.31231688216343,1.0,0.0006394955530196148
329.9224894862021,336.99917943890694,319.73699236930685,1.0,0.0006243449435824275
329.83941788211945,336.4885357424843,319.12538886258665,1.0,0.0006090716206982715
329.4181855232485,336.4056863245631,319.09317461842824,1.0,0.0005936906572928626
329.4254496912802,336.2025315923411,318.8806537601119,1.0,0.0005782172325201157
328.99569820281,336.1965887160528,318.9164206461341,1.0,0.0005626666167821524
328.5917295394405,335.82830984933037,318.48178966951224,1.0,0.0005470541566592573
328.3135324785786,335.75669303360684,318.31255582830704,1.0,0.000531395259764657
328.1117077242944,335.6324814507543,318.147350598058,1.0,0.0005157053795390644
328.266319422568,335.4075090742643,317.97352238029936,1.0,0.0005000000000000002
327.74395811019406,335.1752843607523,317.6800198231304,1.0,0.00048429462046093607
327.4183522870464,335.0075272796847,317.6012460385896,1.0,0.0004686047402353435
327.17960323210684,334.9999678498706,317.41449527450607,1.0,0.000452945843340743
327.06450549710183,334.58369609365104,317.065577427208,1.0,0.00043733338321784806
326.6977796985257,334.45936696710555,316.92035838458554,1.0,0.0004217827674798847
326.44703408518143,334.04027302441506,316.45581753468923,1.0,0.00040630934270713783
326.2680449455015,334.11506014962083,316.44663170038626,1.0,0.000390928379301729
325.99847746818295,334.07611747517535,316.45977840713454,1.0,0.0003756550564175727
325.76887856760334,333.6268164668523,315.88796535750896,1.0,0.00036050444698038553
325.43912668535785,333.6175842285156,315.8957727248666,1.0,0.00034549150281252655
325.52395610194054,333.52178192602463,315.8074200074603,1.0,0.0003306310398773544
325.1639418079007,333.422740889127,315.6407074376563,1.0,0.00031593772365766127
325.1350629252772,333.31989888323596,315.6272398418206,1.0,0.0003014260546826097
324.7212872905116,333.0968877450311,315.35375814544153,1.0,0.0002871103542174637
324.67755402595765,332.83275384564774,315.0172908516278,1.0,0.0002730047501302267
324.58441575573335,332.78582567023653,315.007621151384,1.0,0.00025912316294914234
323.96888191469253,332.47731772193794,314.7056015988614,1.0,0.0002454792921248144
323.8789109753024,332.4568026062445,314.66538738339625,1.0,0.00023208660251050164
323.88690323368195,332.50636033944204,314.6434650888801,1.0,0.00021895831107393473
323.709478562878,332.2039102324357,314.3045805802582,1.0,0.00020610737385376356
323.3526162424395,332.31948406679413,314.48325281268797,1.0,0.00019354647317351177
323.3750204763105,332.2534268612074,314.36191683907396,1.0,0.0001812880051256552
323.16137793756303,331.9671475086773,314.0976455271063,1.0,0.00016934406733817422
323.06285045992945,331.8509939825644,314.0255818561218,1.0,0.0001577264470356557
322.8013595088836,331.68452480513275,313.84875163007774,1.0,0.00014644660940672634
322.6506073982485,331.6928005662974,313.8021900428223,1.0,0.0001355156862892944
322.58858741021925,331.4617506960605,313.54128854552545,1.0,0.00012494446518477025
322.4040054813508,331.4433575569315,313.5396349504001,1.0,0.00011474337861210548
322.3402603641633,331.3837911464765,313.4172830166184,1.0,0.00010492249381215483
322.20398579259074,331.3942471056844,313.4875424648853,1.0,9.549150281252637e-05
322.08011100522936,331.22950247133633,313.30642432432165,1.0,8.645971286271918e-05
321.7782890073715,331.20992674668145,313.262611594775,1.0,7.78360372489926e-05
321.9674056514617,331.1345820619222,313.1960408528646,1.0,6.962898649802815e-05
321.6697877945439,331.1931574951914,313.2248684064716,1.0,6.184665997806824e-05
321.5081308672505,331.1375670459133,313.205597066058,1.0,5.449673790581613e-05
321.57071178805444,330.9450257708116,312.96672995894875,1.0,4.758647376699034e-05
321.4306733162172,330.8684717303955,312.91070305574027,1.0,4.112268715800956e-05
321.5156803254158,330.8066551819157,312.84251328674134,1.0,3.511175705587434e-05
321.4052539456275,330.8276865301161,312.8575871831861,1.0,2.9559615522887284e-05
321.40813539566534,330.96598302962934,313.0043249684868,1.0,2.447174185242324e-05
321.4344488328503,330.75973259057196,312.79242753451115,1.0,1.9853157161528526e-05
321.24440642326107,330.84641187488126,312.8822618911573,1.0,1.570841943568452e-05
321.09905454574096,330.7165854719755,312.74236226956293,1.0,1.204161903062634e-05
321.2760503953503,330.5736156397919,312.5957846227026,1.0,8.85637463565564e-06
321.42828388829383,330.6936301497099,312.7130621727477,1.0,6.155829702431171e-06
321.31319619455644,330.71122008597115,312.73219884004754,1.0,3.942649342761118e-06
321.14681691815775,330.8221550010983,312.84453379158555,1.0,2.2190176984600023e-06
321.04796989194807,330.71166475831313,312.7349837932181,1.0,9.866357858642206e-07
321.2367969143775,330.97702341128024,312.9997063262847,1.0,2.467198171342e-07
