train,val,recon,beta,lr
823.265124905494,1988.4537899430882,577.1569317262102,0.0,0.001
491.91924792874244,434.61005534101525,413.4077482553963,0.1,0.0009997532801828658
391.0933576030116,388.95635366082314,368.70982447105337,0.2,0.0009990133642141358
366.3986818375126,371.9546258093497,354.03949583105765,0.3,0.00099778098230154
357.62775111044607,363.7197596525832,347.6200332224188,0.4,0.000996057350657239
353.8105108445691,359.69008321559176,345.04434411880817,0.5,0.0009938441702975688
352.54708232264363,355.84917865355084,343.2553260007045,0.6,0.0009911436253643444
350.5520700762349,353.886571739993,343.85015215501716,0.7,0.0009879583809693736
350.45228173040573,351.5786622268692,342.4095897114144,0.8,0.0009842915805643154
349.39477046843496,349.7728738678504,340.80946277436755,0.9,0.0009801468428384714
348.84490238312753,347.9378902168622,340.2254177476135,1.0,0.0009755282581475767
347.436716781124,347.39573813209415,340.08228904469036,1.0,0.0009704403844771127
346.17115675403227,345.799666198916,338.5169941230627,1.0,0.0009648882429441257
345.44654875724547,344.66099599357074,337.5510545353759,1.0,0.0009588773128419905
344.74422233335434,344.5640143582886,337.04030736364734,1.0,0.0009524135262330098
343.3135838662424,344.98889793388264,339.17977050039184,1.0,0.0009455032620941839
342.4258529170867,342.35909770745275,336.52431850259427,1.0,0.0009381533400219318
341.6942906533518,341.6552434888413,335.5379616595329,1.0,0.0009303710135019719
340.9386021767893,341.0280430570562,335.20937025694377,1.0,0.0009221639627510076
339.9400685956401,340.49485492184533,335.14249161214934,1.0,0.000913540287137281
339.4263402138987,339.6708467524102,334.51549063608155,1.0,0.0009045084971874739
338.6688084756174,338.8868032036098,333.72350897359024,1.0,0.0008950775061878453
338.1156972577495,338.91650659006535,332.80030970240074,1.0,0.0008852566213878948
337.254828077747,337.9270311164276,333.3874169501369,1.0,0.0008750555348152299
336.4674576297883,336.6931412129658,332.4608739850973,1.0,0.0008644843137107058
335.93329014931953,336.1240555752616,332.2845464055178,1.0,0.0008535533905932738
335.3700866699219,335.4505973282556,331.71461441983087,1.0,0.0008422735529643445
334.6659918016003,335.07960035639087,331.8993028511272,1.0,0.000830655932661826
333.8581517373362,334.2934091121592,330.9730840402775,1.0,0.000818711994874345
