pathway,n_genes,corr,abs_corr,sign
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1,8,,,0
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12,8,,,0
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION,9,,,0
REACTOME_ADRENOCEPTORS,1,,,0
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,5,,,0
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION,2,,,0
REACTOME_AGGREPHAGY,7,,,0
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL,0,,,0
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS,2,,,0
REACTOME_ALK_MUTANTS_BIND_TKIS,1,,,0
REACTOME_ALPHA_DEFENSINS,0,,,0
REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM,1,,,0
REACTOME_ALPHA_OXIDATION_OF_PHYTANATE,2,,,0
REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY,4,,,0
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,3,,,0
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS,1,,,0
REACTOME_AMINO_ACIDS_REGULATE_MTORC1,8,,,0
REACTOME_AMINO_ACID_CONJUGATION,1,,,0
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,2,,,0
REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY,1,,,0
REACTOME_AMYLOID_FIBER_FORMATION,13,0.8563277125358582,0.8563277125358582,1
REACTOME_ANCHORING_FIBRIL_FORMATION,1,,,0
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,29,0.9080139398574829,0.9080139398574829,1
REACTOME_ANDROGEN_BIOSYNTHESIS,1,,,0
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,12,0.9343423247337341,0.9343423247337341,1
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,4,,,0
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,15,0.8969531655311584,0.8969531655311584,1
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,64,0.8871241211891174,0.8871241211891174,1
REACTOME_ANTIMICROBIAL_PEPTIDES,8,,,0
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,17,0.9080047011375427,0.9080047011375427,1
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,36,0.8838331699371338,0.8838331699371338,1
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,10,0.8450667858123779,0.8450667858123779,1
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,8,,,0
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,12,0.8068330883979797,0.8068330883979797,1
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,14,0.8765875101089478,0.8765875101089478,1
REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY,2,,,0
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV_1_INFECTION,1,,,0
REACTOME_APOPTOSIS,33,0.8893521428108215,0.8893521428108215,1
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,4,,,0
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,9,,,0
