train,val,recon,beta,lr
416.9768542874244,571.7624634160097,337.71376178281525,0.0,0.001
343.05501393964215,399.8460813883711,330.75016834448417,0.1,0.0009997532801828658
339.62163105626263,392.2005132642319,324.12020639034995,0.2,0.0009990133642141358
339.46561594317035,382.2262663527221,324.1767689930028,0.3,0.00099778098230154
341.7447811003654,383.7486348902926,331.6678353322192,0.4,0.000996057350657239
345.8773465064264,370.96579910788495,324.7926681688612,0.5,0.0009938441702975688
348.1244743101058,366.16754089788344,325.8260138143522,0.6,0.0009911436253643444
350.4194422568044,364.0243989923201,329.74807569200385,0.7,0.0009879583809693736
351.2804301600302,361.93125608496393,332.0995463362581,0.8,0.0009842915805643154
354.19052734375,360.01752250076186,332.5962672889655,0.9,0.0009801468428384714
355.0000974593624,358.1052576128835,335.32470969651365,1.0,0.0009755282581475767
355.3156496109501,355.7812219312488,333.5629526495813,1.0,0.0009704403844771127
354.2174788936492,358.6481628727164,339.16559143993993,1.0,0.0009648882429441257
352.5291521626134,354.845296842349,335.13585723907875,1.0,0.0009588773128419905
352.63896110288556,354.75962428563514,336.3640011494645,1.0,0.0009524135262330098
350.35077022429437,353.7023946621015,335.1055876294168,1.0,0.0009455032620941839
349.29439874464464,355.3996635274684,338.4162872592729,1.0,0.0009381533400219318
349.9986778997606,352.6117048238428,336.1909855341114,1.0,0.0009303710135019719
348.6638709283644,350.720382075131,334.036870125845,1.0,0.0009221639627510076
348.1658020019531,351.3363609244396,335.8228796065156,1.0,0.000913540287137281
347.2449957078503,352.15941474396647,336.55017157866723,1.0,0.0009045084971874739
345.3902046449723,349.1652826280217,334.9519084648279,1.0,0.0008950775061878453
345.2239683089718,346.64129149524877,331.19884888437383,1.0,0.0008852566213878948
343.84575608776464,346.4336867683202,331.7795456597387,1.0,0.0008750555348152299
342.9677641837828,344.77887458839916,331.1925383315623,1.0,0.0008644843137107058
341.7993317634829,344.3508838410073,330.7016771990961,1.0,0.0008535533905932738
341.1087898500504,343.2482622604602,330.46407517082423,1.0,0.0008422735529643445
340.11247243573587,342.33460366230725,330.2576178058906,1.0,0.000830655932661826
338.822610375189,341.8055046413928,330.01986704848576,1.0,0.000818711994874345
338.25503914125505,341.2852343156345,329.56873828768124,1.0,0.0008064535268264884
337.8763847104965,340.0198227840837,328.92006808728314,1.0,0.0007938926261462368
336.57091655115926,339.70791358213415,328.5874925298411,1.0,0.0007810416889260655
336.37454420520413,339.298703315217,328.25735592982204,1.0,0.0007679133974894984
335.6710624448715,338.93343844737444,327.62297870361573,1.0,0.0007545207078751858
335.31295658234626,338.8957476491261,327.62073608522115,1.0,0.0007408768370508578
334.6116742534022,337.9770369973226,326.4922080429371,1.0,0.0007269952498697736
334.3444985666583,337.56162986871317,325.9546481456196,1.0,0.0007128896457825365
333.8892135127898,336.88397370157753,325.50316940044803,1.0,0.0006985739453173904
333.51212807932205,337.19889636440723,325.35184209914433,1.0,0.0006840622763423392
333.19009045016384,336.65687518675395,324.8038998682086,1.0,0.0006693689601226459
332.97932719569053,336.3287586834414,324.5213974663793,1.0,0.0006545084971874739
332.4890790385585,336.1477237658902,324.11269198555834,1.0,0.0006394955530196148
332.0394105972782,336.3707540247336,324.12885988306977,1.0,0.0006243449435824275
331.8462014475176,335.88311120123126,323.6746184777102,1.0,0.0006090716206982715
331.4646970687374,335.5145422041718,323.0947168661348,1.0,0.0005936906572928626
331.4501210858745,335.5872989673866,322.9664076722985,1.0,0.0005782172325201157
