train,val,recon,beta,lr
398.21019011466734,1089.7233705406613,339.36705928288455,0.0,0.001
353.84143440492693,388.3074535366008,341.1282561482871,0.1,0.0009997532801828658
347.0600046465474,372.37024656100596,338.63251505410176,0.2,0.0009990133642141358
347.1484162361391,370.89997465216766,336.90514881941806,0.3,0.00099778098230154
347.5698200841104,362.3427764985337,336.65420014015206,0.4,0.000996057350657239
348.49176281344506,359.6852597624094,336.3784329090679,0.5,0.0009938441702975688
349.82522957094255,357.91392327553115,335.1525808347878,0.6,0.0009911436253643444
350.1960529942666,357.20541773895604,337.6967888087125,0.7,0.0009879583809693736
351.63053273847027,354.27804300140104,335.4569226853391,0.8,0.0009842915805643154
352.19649756646925,353.7152386233437,337.31435049688923,0.9,0.0009801468428384714
352.6827672158518,352.84723374077856,335.14590755876196,1.0,0.0009755282581475767
351.3420337307838,352.2031975866934,337.7746494219779,1.0,0.0009704403844771127
351.8170670047883,351.6174240962592,336.1869624082803,1.0,0.0009648882429441257
351.14147712953627,351.3529103813442,337.07253192874555,1.0,0.0009588773128419905
348.47130304151966,352.220652113956,339.2965490957645,1.0,0.0009524135262330098
348.64207468340476,348.4009204064459,334.8562829107499,1.0,0.0009455032620941839
346.42713957755797,349.79573202239465,338.40476825563377,1.0,0.0009381533400219318
345.93053234469505,345.89570782476886,333.9511983977746,1.0,0.0009303710135019719
345.2471343009703,345.78404928746556,333.78167339970395,1.0,0.0009221639627510076
343.7196952573715,344.5040080618351,333.5215964644876,1.0,0.000913540287137281
344.59947037235384,343.70349241061535,333.28826374954485,1.0,0.0009045084971874739
342.0655517578125,343.0628713868672,333.2652229038536,1.0,0.0008950775061878453
342.20418661794355,343.1334602456445,333.17934198041337,1.0,0.0008852566213878948
340.8451888545867,342.96700482122077,333.3899329219304,1.0,0.0008750555348152299
340.05030045047886,341.2923281900547,332.2232125542205,1.0,0.0008644843137107058
339.0151162424395,340.33266483449887,331.83941706045783,1.0,0.0008535533905932738
338.0964323966734,338.95923168178507,330.8617933588308,1.0,0.0008422735529643445
337.37560405115926,338.7267837601713,330.87470551619293,1.0,0.000830655932661826
336.41700774162047,338.1728751231834,330.60620508010385,1.0,0.000818711994874345
336.06299595986644,337.56245024428904,330.0568735418349,1.0,0.0008064535268264884
335.8426799158896,336.92097627433,329.5240374131285,1.0,0.0007938926261462368
335.0082476215978,336.61476089183805,329.299796166077,1.0,0.0007810416889260655
334.81079869424144,336.3554538900729,329.02756862157264,1.0,0.0007679133974894984
334.2569847845262,335.88248407891456,328.67797401992505,1.0,0.0007545207078751858
334.00823580834174,335.6795796093849,328.5087751116071,1.0,0.0007408768370508578
333.44711717174897,335.4656425437425,328.2362349830017,1.0,0.0007269952498697736
333.23837299962196,335.144081290418,327.9148189277997,1.0,0.0007128896457825365
332.9920534195439,335.0797331310454,327.86162307878396,1.0,0.0006985739453173904
332.7076658187374,334.66096102358,327.40081872447286,1.0,0.0006840622763423392
332.4038771106351,334.1849474194806,326.8924073131372,1.0,0.0006693689601226459
332.0553716844128,334.19644398790723,326.95223727549944,1.0,0.0006545084971874739
331.84408333070814,333.9731582471544,326.6006951823906,1.0,0.0006394955530196148
331.48768979964717,333.9726599108726,326.6376937727073,1.0,0.0006243449435824275
331.34160983177924,333.4615733292569,326.0846173658439,1.0,0.0006090716206982715
331.0104694981729,333.3265073457387,325.9290764867595,1.0,0.0005936906572928626
330.86349428238407,333.30328475503813,325.84937378053365,1.0,0.0005782172325201157
330.5952949770035,333.05461784447823,325.62843208042443,1.0,0.0005626666167821524
330.45487966229837,332.83821356096047,325.2495768785718,1.0,0.0005470541566592573
330.11939165669105,332.6425648481529,325.0494496818009,1.0,0.000531395259764657
329.9423962008569,332.7337660831038,325.1104920670375,1.0,0.0005157053795390644
329.9846717096144,332.27249167151484,324.5899657399217,1.0,0.0005000000000000002
329.54627291771675,332.2809453684025,324.60433091122087,1.0,0.00048429462046093607
329.43181703629034,332.0404052796214,324.30943195996196,1.0,0.0004686047402353435
329.1913054435484,331.9531562410952,324.1783142213522,1.0,0.000452945843340743
329.0231431530368,331.8440276264782,324.036664170842,1.0,0.00043733338321784806
328.81238777406753,331.64557548298785,323.7715504438561,1.0,0.0004217827674798847
328.60038137128277,331.4862498676644,323.66083051223524,1.0,0.00040630934270713783
328.41956058625254,331.4853996856597,323.60821568451394,1.0,0.000390928379301729
328.2696291031376,331.3036391485305,323.34854119174264,1.0,0.0003756550564175727
327.98223148469003,331.2236092518166,323.2422729801383,1.0,0.00036050444698038553
327.83734741210935,331.1033139245247,323.05245441100516,1.0,0.00034549150281252655
327.8487202305948,330.8616992397753,322.85935109301784,1.0,0.0003306310398773544
327.5078845608619,330.6292449796574,322.59831401975686,1.0,0.00031593772365766127
327.7306384671119,330.7695888159848,322.6801996634965,1.0,0.0003014260546826097
327.29261553364415,330.44350348475496,322.31569769800376,1.0,0.0002871103542174637
327.2166655509703,330.47815459617607,322.35503893140117,1.0,0.0002730047501302267
327.1959949124244,330.4358529350799,322.2568332660524,1.0,0.00025912316294914234
326.6999966529108,330.17361369186136,321.99938518365707,1.0,0.0002454792921248144
326.6739889821699,330.04647488270365,321.8340671836907,1.0,0.00023208660251050164
326.7535435830393,330.1074438587873,321.83885894435275,1.0,0.00021895831107393473
326.60894440681705,330.0692683041156,321.77332202791564,1.0,0.00020610737385376356
326.26119955739665,329.9421729245326,321.6341729532259,1.0,0.00019354647317351177
326.24279155115926,330.02143774216177,321.7071933858421,1.0,0.0001812880051256552
326.1669801773564,329.80260813055065,321.4760402814716,1.0,0.00016934406733817422
326.17903481760334,329.77601075331853,321.4269747439368,1.0,0.0001577264470356557
325.97564303490424,329.55476934400133,321.1561272556417,1.0,0.00014644660940672634
325.82252059444306,329.5913821451328,321.2242172102073,1.0,0.0001355156862892944
325.69463973506805,329.5228272350122,321.14030120447654,1.0,0.00012494446518477025
325.5482386435232,329.5062163224457,321.1100130554632,1.0,0.00011474337861210548
325.5846975018901,329.2829284667969,320.8533019586658,1.0,0.00010492249381215483
325.5996097687752,329.29297477312485,320.835854511976,1.0,9.549150281252637e-05
325.3016859485257,329.2562504823447,320.80155828875974,1.0,8.645971286271918e-05
325.15150953723537,329.2475745915159,320.77787393958374,1.0,7.78360372489926e-05
325.27070095923636,329.13664577990437,320.6750339372784,1.0,6.962898649802815e-05
325.02072163243446,329.17378784303367,320.68463696264325,1.0,6.184665997806824e-05
324.9724113218246,329.18396048656956,320.7121502939087,1.0,5.449673790581613e-05
324.90880186019405,329.0353441294445,320.5421408980813,1.0,4.758647376699034e-05
324.9930656186996,328.9522835434872,320.4523828322885,1.0,4.112268715800956e-05
324.9933268885459,328.8979852894761,320.3920943023465,1.0,3.511175705587434e-05
324.91552635931197,328.8999586482179,320.38513256563846,1.0,2.9559615522887284e-05
324.9044496597782,328.7850468195922,320.2704504196646,1.0,2.447174185242324e-05
325.0525658392137,328.90018136779105,320.3783348199444,1.0,1.9853157161528526e-05
324.7467787219632,328.79934750511535,320.27196421521774,1.0,1.570841943568452e-05
324.63658545709427,328.90392868521246,320.38208369571026,1.0,1.204161903062634e-05
324.81825049615674,328.8970537891021,320.37326878448147,1.0,8.85637463565564e-06
324.98978133663053,328.83820138484873,320.3121828274403,1.0,6.155829702431171e-06
324.94527410691785,328.8844657302748,320.3560887299048,1.0,3.942649342761118e-06
324.6615234375,328.94498807990203,320.4168669386596,1.0,2.2190176984600023e-06
324.63560495684226,328.90507431571365,320.377004463791,1.0,9.866357858642206e-07
324.7565890404486,328.92193803255805,320.39386861969274,1.0,2.467198171342e-07
