config,best_val_loss,tanh_saturation,competitive_z_interferon,sign_agreement,counterfactual_correlation,n_epochs_run,train_time_s
baseline,330.1043899304236,9.134224819717929e-05,6.00113297160905,0.47784431137724553,0.5523295402526855,100,4934.159747838974
init_fan_in,330.5736156397919,0.0015391419874504209,6.026841292977597,0.4780023781212842,0.39161479473114014,100,4416.252327919006
normalize_batch,330.5896288716201,0.023859649896621704,6.030010823014631,0.4845238095238095,0.4280126690864563,100,2616.960447072983
normalize_layer,330.176836768617,0.005710395984351635,6.02860214101724,0.48398576512455516,0.3703156113624573,100,1494.6969509124756
informed_decoder,330.73581932554856,0.0001248427724931389,6.171582674472163,0.5358851674641149,0.634877622127533,100,1498.893867969513
