config,best_val_loss,fidelity_median_abs_corr,fidelity_fraction_below_02,fidelity_fraction_inverted,unit_vs_naive_auc_diff_mean,unit_vs_naive_auc_frac_wins,competitive_z_interferon,n_epochs_run,train_time_s
baseline,330.1043899304236,0.21395131945610046,0.47619047619047616,0.15046439628482972,-0.00011138594806854002,0.5744822979291917,6.00113297160905,100,1731.2973868846893
nonneg_only,328.7850468195922,0.733744740486145,0.0,0.0,0.0033427161848088435,0.48563794255177023,6.0902316690625184,100,1631.707934141159
standardize_only,330.6418381092879,0.22809435427188873,0.4389233954451346,0.14427244582043344,0.0012088243557864156,0.6032064128256514,6.0905838634783604,100,1612.3871731758118
both,330.5541783604337,0.868068516254425,0.0,0.0,0.000837203616005129,0.4682698730794923,6.126152899552242,100,1740.9295761585236
